question_id,exam,year,session,exam_date,shift,paper,paper_number,subject,original_question_number,question_type,question_text,image_required,section,source_pdf,extraction_method
JM_2026_S2_0402_SHIFT1_MAT_Q001,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,Mathematics,1,SINGLE_CORRECT_MCQ,[Image-based question — see question card image. NTA Question ID: 6911211],True,A,JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,NTA_IMAGE_RENDER
JM_2026_S2_0402_SHIFT1_MAT_Q002,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,Mathematics,2,SINGLE_CORRECT_MCQ,[Image-based question — see question card image. NTA Question ID: 6911212],True,A,JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,NTA_IMAGE_RENDER
JM_2026_S2_0402_SHIFT1_MAT_Q003,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,Mathematics,3,SINGLE_CORRECT_MCQ,[Image-based question — see question card image. NTA Question ID: 6911213],True,A,JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,NTA_IMAGE_RENDER
JM_2026_S2_0402_SHIFT1_MAT_Q004,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,Mathematics,4,SINGLE_CORRECT_MCQ,[Image-based question — see question card image. NTA Question ID: 6911214],True,A,JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,NTA_IMAGE_RENDER
JM_2026_S2_0402_SHIFT1_MAT_Q005,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,Mathematics,5,SINGLE_CORRECT_MCQ,[Image-based question — see question card image. NTA Question ID: 6911215],True,A,JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,NTA_IMAGE_RENDER
JM_2026_S2_0402_SHIFT1_MAT_Q006,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,Mathematics,6,SINGLE_CORRECT_MCQ,[Image-based question — see question card image. NTA Question ID: 6911216],True,A,JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,NTA_IMAGE_RENDER
JM_2026_S2_0402_SHIFT1_MAT_Q007,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,Mathematics,7,SINGLE_CORRECT_MCQ,[Image-based question — see question card image. NTA Question ID: 6911217],True,A,JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,NTA_IMAGE_RENDER
JM_2026_S2_0402_SHIFT1_MAT_Q008,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,Mathematics,8,SINGLE_CORRECT_MCQ,[Image-based question — see question card image. NTA Question ID: 6911218],True,A,JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,NTA_IMAGE_RENDER
JM_2026_S2_0402_SHIFT1_MAT_Q009,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,Mathematics,9,SINGLE_CORRECT_MCQ,[Image-based question — see question card image. NTA Question ID: 6911219],True,A,JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,NTA_IMAGE_RENDER
JM_2026_S2_0402_SHIFT1_MAT_Q010,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,Mathematics,10,SINGLE_CORRECT_MCQ,[Image-based question — see question card image. NTA Question ID: 69112110],True,A,JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,NTA_IMAGE_RENDER
