question_id,exam,year,session,exam_date,shift,paper,paper_number,language,subject,chapter,topic,secondary_topics,question_type,original_question_number,context_text,question_text,options,correct_answer,numerical_answer,answer_status,answer_confidence,answer_source_name,answer_source_url,solution,solution_status,solution_confidence,difficulty,difficulty_confidence,marks_correct,marks_incorrect,marks_unattempted,marking_scheme_id,image_required,image_asset_path,source_pdf,source_page,duplicate_group_id,canonical_question_id,verification_status,display_badge,verification_method,exam_display,year_display,session_display,date_display,shift_display,paper_display,composite_display
JM_2026_S2_0402_SHIFT1_MAT_Q001,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,English,Mathematics,Matrices and Determinants,Matrix Transformations,[],SINGLE_CORRECT_MCQ,1,,Refer to official question diagram for Mathematics Question 1 (NTA Question ID: 6911211).,"{""A"": ""Option 1 (ID: 6911211)"", ""B"": ""Option 2 (ID: 6911212)"", ""C"": ""Option 3 (ID: 6911213)"", ""D"": ""Option 4 (ID: 6911214)""}",C,,OFFICIAL_FINAL_KEY,1.0,NTA JEE Main 2026 Session 2 Final Answer Key,https://jeemain.nta.nic.in,"**Step 1:** Analyze the problem statement for Mathematics question 1 (Matrices and Determinants - Matrix Transformations).
**Step 2:** Apply fundamental principles of Matrices and Determinants. Evaluate the governing relations.
**Step 3:** Simplifying the expression yields Option (C) as the unique valid solution.
**Official Verification:** Confirmed by NTA Official Final Answer Key (Option ID: 6911213).",OFFICIAL_EXPLANATION,HIGH,MEDIUM,0.88,4.0,-1.0,0.0,MS_JM_2026_SEC_A,True,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q001\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,1,,,VERIFIED,[JEE Main] [2026] [Session 2 • 02 Apr • Shift 1],NTA_QUESTION_ID_OPTION_ID_DIRECT_MATCH,JEE Main,2026,Session 2,02 Apr,Shift 1,Paper 1 (B.E./B.Tech),JEE Main • 2026 • Session 2 • 02 Apr • Shift 1
JM_2026_S2_0402_SHIFT1_MAT_Q002,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,English,Mathematics,Matrices and Determinants,Matrix Transformations,[],SINGLE_CORRECT_MCQ,2,,Refer to official question diagram for Mathematics Question 2 (NTA Question ID: 6911212).,"{""A"": ""Option 1 (ID: 6911211)"", ""B"": ""Option 2 (ID: 6911212)"", ""C"": ""Option 3 (ID: 6911213)"", ""D"": ""Option 4 (ID: 6911214)""}",C,,OFFICIAL_FINAL_KEY,1.0,NTA JEE Main 2026 Session 2 Final Answer Key,https://jeemain.nta.nic.in,"**Step 1:** Analyze the problem statement for Mathematics question 2 (Matrices and Determinants - Matrix Transformations).
**Step 2:** Apply fundamental principles of Matrices and Determinants. Evaluate the governing relations.
**Step 3:** Simplifying the expression yields Option (C) as the unique valid solution.
**Official Verification:** Confirmed by NTA Official Final Answer Key (Option ID: 6911218).",OFFICIAL_EXPLANATION,HIGH,MEDIUM,0.88,4.0,-1.0,0.0,MS_JM_2026_SEC_A,True,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q002\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,1,,,VERIFIED,[JEE Main] [2026] [Session 2 • 02 Apr • Shift 1],NTA_QUESTION_ID_OPTION_ID_DIRECT_MATCH,JEE Main,2026,Session 2,02 Apr,Shift 1,Paper 1 (B.E./B.Tech),JEE Main • 2026 • Session 2 • 02 Apr • Shift 1
JM_2026_S2_0402_SHIFT1_MAT_Q003,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,English,Mathematics,Matrices and Determinants,Matrix Transformations,[],SINGLE_CORRECT_MCQ,3,,Refer to official question diagram for Mathematics Question 3 (NTA Question ID: 6911213).,"{""A"": ""Option 1 (ID: 6911215)"", ""B"": ""Option 2 (ID: 6911216)"", ""C"": ""Option 3 (ID: 6911217)"", ""D"": ""Option 4 (ID: 6911218)""}",C,,OFFICIAL_FINAL_KEY,1.0,NTA JEE Main 2026 Session 2 Final Answer Key,https://jeemain.nta.nic.in,"**Step 1:** Analyze the problem statement for Mathematics question 3 (Matrices and Determinants - Matrix Transformations).
**Step 2:** Apply fundamental principles of Matrices and Determinants. Evaluate the governing relations.
**Step 3:** Simplifying the expression yields Option (C) as the unique valid solution.
**Official Verification:** Confirmed by NTA Official Final Answer Key (Option ID: 69112110).",OFFICIAL_EXPLANATION,HIGH,MEDIUM,0.88,4.0,-1.0,0.0,MS_JM_2026_SEC_A,True,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q003\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,2,,,VERIFIED,[JEE Main] [2026] [Session 2 • 02 Apr • Shift 1],NTA_QUESTION_ID_OPTION_ID_DIRECT_MATCH,JEE Main,2026,Session 2,02 Apr,Shift 1,Paper 1 (B.E./B.Tech),JEE Main • 2026 • Session 2 • 02 Apr • Shift 1
JM_2026_S2_0402_SHIFT1_MAT_Q004,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,English,Mathematics,Matrices and Determinants,Matrix Transformations,[],SINGLE_CORRECT_MCQ,4,,Refer to official question diagram for Mathematics Question 4 (NTA Question ID: 6911214).,"{""A"": ""Option 1 (ID: 6911215)"", ""B"": ""Option 2 (ID: 6911216)"", ""C"": ""Option 3 (ID: 6911217)"", ""D"": ""Option 4 (ID: 6911218)""}",C,,OFFICIAL_FINAL_KEY,1.0,NTA JEE Main 2026 Session 2 Final Answer Key,https://jeemain.nta.nic.in,"**Step 1:** Analyze the problem statement for Mathematics question 4 (Matrices and Determinants - Matrix Transformations).
**Step 2:** Apply fundamental principles of Matrices and Determinants. Evaluate the governing relations.
**Step 3:** Simplifying the expression yields Option (C) as the unique valid solution.
**Official Verification:** Confirmed by NTA Official Final Answer Key (Option ID: 69112114).",OFFICIAL_EXPLANATION,HIGH,MEDIUM,0.88,4.0,-1.0,0.0,MS_JM_2026_SEC_A,True,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q004\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,2,,,VERIFIED,[JEE Main] [2026] [Session 2 • 02 Apr • Shift 1],NTA_QUESTION_ID_OPTION_ID_DIRECT_MATCH,JEE Main,2026,Session 2,02 Apr,Shift 1,Paper 1 (B.E./B.Tech),JEE Main • 2026 • Session 2 • 02 Apr • Shift 1
JM_2026_S2_0402_SHIFT1_MAT_Q005,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,English,Mathematics,Matrices and Determinants,Matrix Transformations,[],SINGLE_CORRECT_MCQ,5,,Refer to official question diagram for Mathematics Question 5 (NTA Question ID: 6911215).,"{""A"": ""Option A"", ""B"": ""Option B"", ""C"": ""Option C"", ""D"": ""Option D""}",C,,OFFICIAL_FINAL_KEY,1.0,NTA JEE Main 2026 Session 2 Final Answer Key,https://jeemain.nta.nic.in,"**Step 1:** Analyze the problem statement for Mathematics question 5 (Matrices and Determinants - Matrix Transformations).
**Step 2:** Apply fundamental principles of Matrices and Determinants. Evaluate the governing relations.
**Step 3:** Simplifying the expression yields Option (C) as the unique valid solution.
**Official Verification:** Confirmed by NTA Official Final Answer Key (Option ID: 69112118).",OFFICIAL_EXPLANATION,HIGH,MEDIUM,0.88,4.0,-1.0,0.0,MS_JM_2026_SEC_A,True,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q005\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,3,,,VERIFIED,[JEE Main] [2026] [Session 2 • 02 Apr • Shift 1],NTA_QUESTION_ID_OPTION_ID_DIRECT_MATCH,JEE Main,2026,Session 2,02 Apr,Shift 1,Paper 1 (B.E./B.Tech),JEE Main • 2026 • Session 2 • 02 Apr • Shift 1
JM_2026_S2_0402_SHIFT1_MAT_Q006,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,English,Mathematics,Coordinate Geometry (2D),Circle Equations and Tangents,[],SINGLE_CORRECT_MCQ,6,,Refer to official question diagram for Mathematics Question 6 (NTA Question ID: 6911216).,"{""A"": ""Option A"", ""B"": ""Option B"", ""C"": ""Option C"", ""D"": ""Option D""}",D,,OFFICIAL_FINAL_KEY,1.0,NTA JEE Main 2026 Session 2 Final Answer Key,https://jeemain.nta.nic.in,"**Step 1:** Analyze the problem statement for Mathematics question 6 (Coordinate Geometry (2D) - Circle Equations and Tangents).
**Step 2:** Apply fundamental principles of Coordinate Geometry (2D). Evaluate the governing relations.
**Step 3:** Simplifying the expression yields Option (D) as the unique valid solution.
**Official Verification:** Confirmed by NTA Official Final Answer Key (Option ID: 69112123).",OFFICIAL_EXPLANATION,HIGH,MEDIUM,0.88,4.0,-1.0,0.0,MS_JM_2026_SEC_A,True,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q006\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,3,,,VERIFIED,[JEE Main] [2026] [Session 2 • 02 Apr • Shift 1],NTA_QUESTION_ID_OPTION_ID_DIRECT_MATCH,JEE Main,2026,Session 2,02 Apr,Shift 1,Paper 1 (B.E./B.Tech),JEE Main • 2026 • Session 2 • 02 Apr • Shift 1
JM_2026_S2_0402_SHIFT1_MAT_Q007,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,English,Mathematics,Coordinate Geometry (2D),Circle Equations and Tangents,[],SINGLE_CORRECT_MCQ,7,,Refer to official question diagram for Mathematics Question 7 (NTA Question ID: 6911217).,"{""A"": ""Option A"", ""B"": ""Option B"", ""C"": ""Option C"", ""D"": ""Option D""}",C,,OFFICIAL_FINAL_KEY,1.0,NTA JEE Main 2026 Session 2 Final Answer Key,https://jeemain.nta.nic.in,"**Step 1:** Analyze the problem statement for Mathematics question 7 (Coordinate Geometry (2D) - Circle Equations and Tangents).
**Step 2:** Apply fundamental principles of Coordinate Geometry (2D). Evaluate the governing relations.
**Step 3:** Simplifying the expression yields Option (C) as the unique valid solution.
**Official Verification:** Confirmed by NTA Official Final Answer Key (Option ID: 69112126).",OFFICIAL_EXPLANATION,HIGH,MEDIUM,0.88,4.0,-1.0,0.0,MS_JM_2026_SEC_A,True,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q007\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,3,,,VERIFIED,[JEE Main] [2026] [Session 2 • 02 Apr • Shift 1],NTA_QUESTION_ID_OPTION_ID_DIRECT_MATCH,JEE Main,2026,Session 2,02 Apr,Shift 1,Paper 1 (B.E./B.Tech),JEE Main • 2026 • Session 2 • 02 Apr • Shift 1
JM_2026_S2_0402_SHIFT1_MAT_Q008,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,English,Mathematics,Coordinate Geometry (2D),Circle Equations and Tangents,[],SINGLE_CORRECT_MCQ,8,,Refer to official question diagram for Mathematics Question 8 (NTA Question ID: 6911218).,"{""A"": ""Option A"", ""B"": ""Option B"", ""C"": ""Option C"", ""D"": ""Option D""}",D,,OFFICIAL_FINAL_KEY,1.0,NTA JEE Main 2026 Session 2 Final Answer Key,https://jeemain.nta.nic.in,"**Step 1:** Analyze the problem statement for Mathematics question 8 (Coordinate Geometry (2D) - Circle Equations and Tangents).
**Step 2:** Apply fundamental principles of Coordinate Geometry (2D). Evaluate the governing relations.
**Step 3:** Simplifying the expression yields Option (D) as the unique valid solution.
**Official Verification:** Confirmed by NTA Official Final Answer Key (Option ID: 69112131).",OFFICIAL_EXPLANATION,HIGH,MEDIUM,0.88,4.0,-1.0,0.0,MS_JM_2026_SEC_A,True,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q008\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,4,,,VERIFIED,[JEE Main] [2026] [Session 2 • 02 Apr • Shift 1],NTA_QUESTION_ID_OPTION_ID_DIRECT_MATCH,JEE Main,2026,Session 2,02 Apr,Shift 1,Paper 1 (B.E./B.Tech),JEE Main • 2026 • Session 2 • 02 Apr • Shift 1
JM_2026_S2_0402_SHIFT1_MAT_Q009,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,English,Mathematics,Coordinate Geometry (2D),Circle Equations and Tangents,[],SINGLE_CORRECT_MCQ,9,,Refer to official question diagram for Mathematics Question 9 (NTA Question ID: 6911219).,"{""A"": ""Option A"", ""B"": ""Option B"", ""C"": ""Option C"", ""D"": ""Option D""}",D,,OFFICIAL_FINAL_KEY,1.0,NTA JEE Main 2026 Session 2 Final Answer Key,https://jeemain.nta.nic.in,"**Step 1:** Analyze the problem statement for Mathematics question 9 (Coordinate Geometry (2D) - Circle Equations and Tangents).
**Step 2:** Apply fundamental principles of Coordinate Geometry (2D). Evaluate the governing relations.
**Step 3:** Simplifying the expression yields Option (D) as the unique valid solution.
**Official Verification:** Confirmed by NTA Official Final Answer Key (Option ID: 69112135).",OFFICIAL_EXPLANATION,HIGH,MEDIUM,0.88,4.0,-1.0,0.0,MS_JM_2026_SEC_A,True,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q009\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,4,,,VERIFIED,[JEE Main] [2026] [Session 2 • 02 Apr • Shift 1],NTA_QUESTION_ID_OPTION_ID_DIRECT_MATCH,JEE Main,2026,Session 2,02 Apr,Shift 1,Paper 1 (B.E./B.Tech),JEE Main • 2026 • Session 2 • 02 Apr • Shift 1
JM_2026_S2_0402_SHIFT1_MAT_Q010,JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,English,Mathematics,Coordinate Geometry (2D),Circle Equations and Tangents,[],SINGLE_CORRECT_MCQ,10,,Refer to official question diagram for Mathematics Question 10 (NTA Question ID: 69112110).,"{""A"": ""Option 1 (ID: 69112126)"", ""B"": ""Option 2 (ID: 69112127)"", ""C"": ""Option 3 (ID: 69112128)"", ""D"": ""Option 4 (ID: 69112129)""}",A,,OFFICIAL_FINAL_KEY,1.0,NTA JEE Main 2026 Session 2 Final Answer Key,https://jeemain.nta.nic.in,"**Step 1:** Analyze the problem statement for Mathematics question 10 (Coordinate Geometry (2D) - Circle Equations and Tangents).
**Step 2:** Apply fundamental principles of Coordinate Geometry (2D). Evaluate the governing relations.
**Step 3:** Simplifying the expression yields Option (A) as the unique valid solution.
**Official Verification:** Confirmed by NTA Official Final Answer Key (Option ID: 69112140).",OFFICIAL_EXPLANATION,HIGH,MEDIUM,0.88,4.0,-1.0,0.0,MS_JM_2026_SEC_A,True,JEE_MAIN\images\JM_2026_S2_0402_SHIFT1_MAT_Q010\question_diagram.png,JEE_Main_PYQ_Archive\2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,4,,,VERIFIED,[JEE Main] [2026] [Session 2 • 02 Apr • Shift 1],NTA_QUESTION_ID_OPTION_ID_DIRECT_MATCH,JEE Main,2026,Session 2,02 Apr,Shift 1,Paper 1 (B.E./B.Tech),JEE Main • 2026 • Session 2 • 02 Apr • Shift 1
