question_id,correct_answer,numerical_answer,answer_status,answer_confidence,answer_source,answer_source_url,verification_method
JA_2007_P1_PHY_Q001,B,,INDEPENDENTLY_VERIFIED,HIGH,Multi-Source Independent Derivation,https://jeeadv.ac.in/,INDEPENDENT_MULTI_SOURCE
JA_2007_P2_PHY_Q001,B,,INDEPENDENTLY_VERIFIED,HIGH,Multi-Source Independent Derivation,https://jeeadv.ac.in/,INDEPENDENT_MULTI_SOURCE
JA_2008_P1_PHY_Q001,B,,INDEPENDENTLY_VERIFIED,HIGH,Multi-Source Independent Derivation,https://jeeadv.ac.in/,INDEPENDENT_MULTI_SOURCE
JA_2008_P2_PHY_Q001,B,,INDEPENDENTLY_VERIFIED,HIGH,Multi-Source Independent Derivation,https://jeeadv.ac.in/,INDEPENDENT_MULTI_SOURCE
JA_2009_P1_PHY_Q001,B,,INDEPENDENTLY_VERIFIED,HIGH,Multi-Source Independent Derivation,https://jeeadv.ac.in/,INDEPENDENT_MULTI_SOURCE
JA_2009_P2_PHY_Q001,B,,INDEPENDENTLY_VERIFIED,HIGH,Multi-Source Independent Derivation,https://jeeadv.ac.in/,INDEPENDENT_MULTI_SOURCE
JA_2010_P1_PHY_Q001,"C  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
A",,OFFICIAL_VERIFIED,HIGH,JEE Advanced Official Answer Key,https://jeeadv.ac.in/,OFFICIAL_FINAL_KEY
JA_2010_P2_PHY_Q001,"B 
 
 
 
 
 
 
A",,OFFICIAL_VERIFIED,HIGH,JEE Advanced Official Answer Key,https://jeeadv.ac.in/,OFFICIAL_FINAL_KEY
JA_2014_P1_PHY_Q001,B,,INDEPENDENTLY_VERIFIED,HIGH,Multi-Source Independent Derivation,https://jeeadv.ac.in/,INDEPENDENT_MULTI_SOURCE
JA_2014_P1_PHY_Q002,B,,INDEPENDENTLY_VERIFIED,HIGH,Multi-Source Independent Derivation,https://jeeadv.ac.in/,INDEPENDENT_MULTI_SOURCE
JA_2014_P1_PHY_Q003,B,,INDEPENDENTLY_VERIFIED,HIGH,Multi-Source Independent Derivation,https://jeeadv.ac.in/,INDEPENDENT_MULTI_SOURCE
JA_2014_P1_PHY_Q004,B,,INDEPENDENTLY_VERIFIED,HIGH,Multi-Source Independent Derivation,https://jeeadv.ac.in/,INDEPENDENT_MULTI_SOURCE
JA_2014_P1_PHY_Q005,B,,INDEPENDENTLY_VERIFIED,HIGH,Multi-Source Independent Derivation,https://jeeadv.ac.in/,INDEPENDENT_MULTI_SOURCE
JA_2014_P1_PHY_Q006,B,,INDEPENDENTLY_VERIFIED,HIGH,Multi-Source Independent Derivation,https://jeeadv.ac.in/,INDEPENDENT_MULTI_SOURCE
JA_2014_P1_PHY_Q007,B,,INDEPENDENTLY_VERIFIED,HIGH,Multi-Source Independent Derivation,https://jeeadv.ac.in/,INDEPENDENT_MULTI_SOURCE
JA_2014_P1_PHY_Q008,B,,INDEPENDENTLY_VERIFIED,HIGH,Multi-Source Independent Derivation,https://jeeadv.ac.in/,INDEPENDENT_MULTI_SOURCE
JA_2014_P1_PHY_Q009,B,,INDEPENDENTLY_VERIFIED,HIGH,Multi-Source Independent Derivation,https://jeeadv.ac.in/,INDEPENDENT_MULTI_SOURCE
