question_id,exam,year,paper,subject,has_diagram_asset,image_required,classification,audit_reason
JM_2026_S2_0402_SHIFT1_MAT_Q001,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q002,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q003,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q004,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q005,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q006,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q007,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q008,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q009,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q010,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q011,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q012,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q013,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q014,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q015,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q016,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q017,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q018,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q019,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q020,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q021,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q022,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q023,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q024,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_MAT_Q025,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Mathematics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
JM_2026_S2_0402_SHIFT1_PHY_Q026,JEE_MAIN,2026,Paper 1 (B.E./B.Tech),Physics,True,True,GENUINE_DIAGRAM_REQUIRED,TEXT_TRIGGER_DIAGRAM
